"im1" "im2" "im3" "sat1" "sat2" "sat3" "fid1" "cpt2" "cpt3" "cpt4"
"1" 6 9 6 7 7 7 8 7 8 8
"2" 9 8 9 9 8 8 9 8 8 10
"3" 5 7 6 9 7 5 7 7 4 9
"4" 6 8 8 6 7 7 10 7 7 10
"5" 7 7 7 8 8 8 8 8 8 8
"6" 5 7 6 6 5 6 7 7 7 7
"7" 6 9 6 8 5 8 2 3 7 10
"8" 9 9 9 8 8 8 10 5 10 9
"9" 7 8 6 8 6 8 7 4 7 9
"10" 9 10 8 9 8 8 10 8 8 10
"11" 7 10 9 8 1 8 9 7 9 9
"12" 8 9 9 6 8 7 8 5 8 8
"13" 9 8 8 9 2 8 8 2 6 9
"14" 7 10 10 10 8 9 8 8 8 10
"15" 5 9 9 7 5 7 10 5 10 10
"16" 8 9 7 9 10 9 7 7 9 9
"17" 8 8 8 10 7 8 8 6 8 9
"18" 10 10 10 10 10 8 10 10 10 10
"19" 8 8 2 8 4 8 5 4 8 8
"20" 8 9 8 7 5 7 8 8 8 10
"21" 7 7 8 9 8 8 9 8 9 10
"22" 7 10 6 6 5 8 10 7 5 8
"23" 3 5 2 7 5 2 3 9 6 8
"24" 8 8 8 7 7 8 8 9 8 8
"25" 5 5 7 8 3 5 8 8 8 8
"26" 7 9 9 10 9 9 10 9 10 10
"27" 7 9 8 10 5 9 8 8 6 8
"28" 6 8 9 7 5 7 6 5 7 7
"29" 8 8 5 10 4 9 4 2 7 10
"30" 5 10 7 9 5 10 10 4 10 10
"31" 8 10 8 10 7 8 10 8 8 10
"32" 10 10 10 10 10 10 10 1 10 10
"33" 8 10 10 8 7 8 10 8 9 8
"34" 10 10 10 8 10 8 10 8 1 10
"35" 8 9 8 8 7 8 9 9 9 9
"36" 8 10 8 7 8 8 8 7 10 10
"37" 8 8 7 7 5 7 5 7 7 7
"38" 7 9 8 8 7 9 8 6 8 8
"39" 9 10 10 10 8 9 9 1 8 8
"40" 6 9 7 7 8 7 9 8 9 9
"41" 7 8 8 8 7 9 8 8 8 8
"42" 2 7 6 4 3 6 7 9 6 8
